component,verb_up,frequency,predic,log_freq,log_predic
encoder,putting up,3986450,0.0408002851398974,15.198411668515666,-3.1574102363361396
encoder,queue up,393935,0.01983113569101013,12.883941200050971,-3.900471655091438
encoder,queued up,276118,0.1972727974188312,12.528583589563597,-1.4034274040995038
encoder,queuing up,248279,0.16460588043417726,12.422308392808828,-1.6243495997668067
encoder,race up,128156,9.2987662482618e-4,11.761003550828846,-6.9795283328662165
encoder,raced up,107893,0.0192493961202903,11.588895274257608,-3.930838510954831
encoder,racing up,92337,0.00252826933246291,11.433200206904234,-5.977688797829777
encoder,rack up,1202532,0.05190516451492213,13.999939891834591,-2.9050362405039363
encoder,racked up,1912070,0.7773953736097756,14.463696982801983,1.250551845244214
encoder,racking up,1135024,0.5042328004719697,13.94216435404853,0.016931606371363775
encoder,raise up,682562,0.00743915452408116,13.433608644406165,-4.893531112796494
encoder,raised up,703403,0.00719816522682315,13.463685264011502,-4.926704918028506
encoder,raises up,93049,0.00506779811853862,11.440881515102385,-5.279768168901459
encoder,raising up,211556,0.00554453552315002,12.262245017835358,-5.189382463160737
encoder,rake up,76175,0.02151351800173802,11.24078860385391,-3.8173254898922946
encoder,raked up,61872,0.05579261364661071,11.032823013847079,-2.828704342250306
encoder,raking up,61923,0.04701761632537773,11.033646956702368,-3.0090740714391657
encoder,ramp up,2489575,0.11084517579328272,14.727622571142012,-2.082136960831202
encoder,ramped up,1110002,0.7721183690107025,13.919872375088696,1.2203115341899757
encoder,ramping up,1497521,0.7797237187327363,14.219321632245702,1.2640570677775607
encoder,ramps up,535430,0.15742653496972486,13.190825441371224,-1.677501952464029
encoder,ran up,1204119,0.01342026218081893,14.00125873717613,-4.297478483280619
encoder,rang up,191187,0.03055779764311755,12.161007285656103,-3.457100961927175
encoder,range up,328985,9.9614895176961e-4,12.703767436002963,-6.91061711615379
encoder,ratchet up,224720,0.1388770438817345,12.322610461778126,-1.8246483351370224
encoder,ratcheted up,190613,0.7239082301916745,12.158000473542655,0.9639313207158287
encoder,ratcheting up,172378,0.42815450302652464,12.057445018860038,-0.2893847258863412
encoder,rate up,574828,0.00209420683968883,13.261826144596272,-6.16648399134397
encoder,rattled up,12634,0.00740269822901255,9.444146871458646,-4.89848048551226
encoder,re up,21807,1.7071663671976777e-5,9.989986298152745,-10.978073492353225
encoder,reach up,1049870,0.00610137214766939,13.864176904944864,-5.093121529279429
encoder,reached up,570954,0.00592991971415442,13.255063924972667,-5.121797033487459
encoder,reaches up,262678,0.01060043691824373,12.478684226449214,-4.5362030382235226
encoder,reaching up,476046,0.01101437062945557,13.073269767199806,-4.497478960019831
encoder,read up,2264008,0.00445661496722864,14.632647251867873,-5.408899201796359
encoder,reading up,825430,0.00362046322147679,13.623659741654173,-5.6175262666367045
encoder,rear up,64790,0.00116207455005079,11.078906549444003,-6.756385715657921
encoder,reared up,82354,0.04543052363651609,11.318782307589476,-3.0450762228123165
encoder,rearing up,39844,0.02030368905045959,10.592727108265056,-3.8764400406925184
encoder,receive up,731767,0.00389433704968899,13.503217436262409,-5.544329879892508
encoder,reckon up,9269,0.00190225851383308,9.134430777875833,-6.262809337147673
encoder,rest up,400949,0.00119659105325424,12.901589516155497,-6.727081246302097
encoder,rested up,48413,0.00850111801826828,10.787523651680855,-4.759020133948595
encoder,retained up,12038,8.2857506082675e-4,9.395823592107716,-7.094974208219387
encoder,rev up,266469,0.00436783938302475,12.493013193120337,-5.429109406239805
encoder,revved up,225346,0.5221080239476562,12.325392277794851,0.08848979347223755
encoder,revving up,145751,0.27429389801418225,11.889654965252667,-0.9729449626309813
encoder,ridden up,29492,0.00689406902484408,10.29187431910954,-4.970175855723204
encoder,ride up,693827,0.00801099104919162,13.449977928874729,-4.8188975476191915
encoder,riding up,239750,0.00617739611017547,12.387351992745685,-5.080661882532997
encoder,rig up,147394,0.00281243074775197,11.900864552345785,-5.870889741714264
encoder,rigged up,163521,0.05687803680145088,12.00469670143866,-2.808286339424747
encoder,rile up,99916,0.24680733337614924,11.512085111972535,-1.115713055010695
encoder,riled up,428185,0.6832986512278104,12.967310624164497,0.76897281550771
encoder,ring up,250407,0.00331500371100584,12.430842873088904,-5.705976025376949
encoder,ringing up,113933,0.02036129671934944,11.643365835303701,-3.8735479543575937
encoder,rip up,204205,0.01285724980338396,12.226879670211167,-4.340906820085891
encoder,ripped up,282531,0.03147930716131926,12.551543558061516,-3.426439434027805
encoder,ripping up,172909,0.04471042906331743,12.060520723526608,-3.061807723375775
encoder,rise up,2317083,0.0251620854814364,14.655819624956772,-3.6569328984922844
encoder,risen up,182769,0.01687044943281953,12.115978339376076,-4.06517736532532
encoder,rises up,463320,0.03456764774961121,13.046173239046283,-3.329657825915779
encoder,rising up,906084,0.01903346041016539,13.716887295959113,-3.942339845999884
encoder,roared up,28272,0.01406693136698808,10.249627194559478,-4.249761720832423
encoder,roaring up,20899,0.00657207457931993,9.947456589918252,-5.018331965080321
encoder,rock up,177325,0.00155995907343014,12.085739486070288,-6.461534515969074
encoder,rocketing up,31226,0.07885612406467889,10.349006360101466,-2.4579912634710546
encoder,rode up,232184,0.02074240781812175,12.355285439756376,-3.854614434133746
encoder,roll up,1787819,0.01672408982811872,14.396506999166395,-4.0740395778351886
encoder,rolled up,1874372,0.07446773979842476,14.44378422795062,-2.5200029796938903
encoder,rolling up,501067,0.01498675673868969,13.124495103660534,-4.185488158973897
encoder,rolls up,271591,0.01391252043853348,12.51205253715151,-4.260955886654311
encoder,root up,26303,2.8823567669059e-4,10.17743828010161,-8.151443813404192
encoder,rooted up,14798,0.00127917573988491,9.602247315485496,-6.660259367108908
encoder,rose up,979364,0.02202637355984132,13.794658660376507,-3.793242169292957
encoder,roughed up,211111,0.5811359500981356,12.260139340484521,0.32743831873280127
encoder,round up,1714978,0.01076127604970488,14.35491081051156,-4.520981541933908
encoder,rounded up,2060333,0.1340730671220076,14.53837817818717,-1.8654156035114033
encoder,rounding up,539054,0.1491303445700137,13.197571030401656,-1.7414382311784202
encoder,rounds up,244047,0.00876911010386376,12.40511610867674,-4.727712163217338
encoder,rouse up,9344,0.01644060251711536,9.142489705068009,-4.091423991573055
