model,epoch,loss
OPT-350M,0.475,5.0699
OPT-350M,0.5,4.9945
OPT-350M,0.525,4.9368
OPT-350M,0.55,4.8855
OPT-350M,0.575,4.8552
OPT-350M,0.6,4.8053
OPT-350M,0.625,4.7835
OPT-350M,0.65,4.7277
OPT-350M,0.675,4.6882
OPT-350M,0.7,4.686
OPT-350M,0.725,4.6239
OPT-350M,0.75,4.5893
OPT-350M,0.775,4.5841
OPT-350M,0.8,4.5256
OPT-350M,0.825,4.4652
OPT-350M,0.85,4.4738
OPT-350M,0.875,4.4873
OPT-350M,0.9,4.452
OPT-350M,0.925,4.4126
OPT-350M,0.95,4.3807
OPT-350M,0.975,4.4078
OPT-350M,1.0,4.3765
OPT-350M,1.025,4.3288
OPT-350M,1.05,4.3341
OPT-350M,1.075,4.3403
OPT-350M,1.1,4.3308
OPT-350M,1.125,4.3009
OPT-350M,1.15,4.2709
OPT-350M,1.175,4.2735
OPT-350M,1.2,4.2882
OPT-350M,1.225,4.2187
OPT-350M,1.25,4.196
OPT-350M,1.275,4.2357
OPT-350M,1.3,4.1819
OPT-350M,1.325,4.1884
OPT-350M,1.35,4.1431
OPT-350M,1.375,4.1537
OPT-350M,1.4,4.1525
OPT-350M,1.425,4.1212
OPT-350M,1.45,4.1275
OPT-350M,1.475,4.1235
OPT-350M,1.5,4.1001
OPT-350M,1.525,4.1166
OPT-350M,1.55,4.0779
OPT-350M,1.575,4.0624
OPT-350M,1.6,4.0553
OPT-350M,1.625,4.0515
OPT-350M,1.65,4.0374
OPT-350M,1.675,4.0106
OPT-350M,1.7,4.0462
OPT-350M,1.725,4.0239
OPT-350M,1.75,4.0288
OPT-350M,1.775,3.9841
OPT-350M,1.8,3.9698
OPT-350M,1.825,3.9765
OPT-350M,1.85,4.0052
OPT-350M,1.875,3.9604
OPT-350M,1.9,3.9785
OPT-350M,1.925,3.9269
OPT-350M,1.95,3.918
OPT-350M,1.975,3.9327
OPT-350M,2.0,3.8814
OPT-350M,2.025,3.9042
OPT-350M,2.05,3.9245
OPT-350M,2.075,3.8262
OPT-350M,2.1,3.8689
OPT-350M,2.125,3.844
OPT-350M,2.15,3.7903
OPT-350M,2.175,3.8508
OPT-350M,2.2,3.7934
OPT-350M,2.225,3.8583
OPT-350M,2.25,3.8104
OPT-350M,2.275,3.7748
OPT-350M,2.3,3.7594
OPT-350M,2.325,3.7698
OPT-350M,2.35,3.7763
OPT-350M,2.375,3.6812
OPT-350M,2.4,3.7236
OPT-350M,2.425,3.7138
OPT-350M,2.45,3.7069
OPT-350M,2.475,3.6962
OPT-350M,2.5,3.7033
OPT-350M,2.525,3.6861
OPT-350M,2.55,3.7039
