verb_up,frequency,predic,log_freq,log_predic
estimate up,30697,6.3385326081233e-4,10.331920208930685,-7.363059025907797
estimated up,32407,5.0394795255029e-4,10.38612972782783,-7.592533488997917
estimates up,31570,8.0825223224955e-4,10.359962581552038,-7.1198278004877915
evened up,30176,0.06413193632712048,10.314802185433184,-2.6805320424425987
examine up,22317,5.4072047750873e-4,10.013103998859451,-7.522067223355058
exchange up,24078,2.6593128937632e-4,10.089053839494971,-8.232006626510476
exchanged up,3931,4.4627880561668e-4,8.27664912542186,-7.7141202981345485
exclude up,20062,0.00166397866073024,9.90658275744343,-6.396878396134838
exempt up,11738,0.00107542614608516,9.37058672111828,-6.833962276159515
exert up,11287,8.5468338020575e-4,9.331406899955626,-7.063924424329789
exerting up,5441,0.00447649817887728,8.601718146485926,-5.40442764700941
exhibit up,33619,0.00124700017433299,10.422846662320358,-6.685766694156309
exhibiting up,25740,0.0045254350017256,10.155801481150117,-5.39350586769178
exhibits up,29774,0.00202740696868543,10.301390808437002,-6.198968192829296
exist up,49393,5.0071250640513e-4,10.807563992730705,-7.598977623194261
existed up,23647,0.0011317172530288,10.070991535979658,-6.782886748748239
exists up,48329,7.5994006208428e-4,10.785787073542922,-7.18151076450963
expand up,67931,7.6149694082383e-4,11.126247763113355,-7.179462615913147
expandable up,109397,0.06347330334804747,11.602738746290546,-2.691558630532161
expanded up,124253,0.00340102128355632,11.730075088536609,-5.680272697044626
expanding up,33010,0.0010891319021548399,10.40456582484724,-6.821284594656141
expands up,20802,0.00257789705463922,9.942804414913079,-5.958200081967489
expect up,79907,3.1196657266871e-4,11.288618737428767,-8.07230249953255
expected up,43077,1.9762574756525e-4,10.670744490962486,-8.528937834417324
expecting up,18285,5.9662475816875e-4,9.81383633058348,-7.423625385160829
expects up,15827,8.2217152502142e-4,9.669472621333282,-7.102739007073547
expenses up,68688,0.00139090468054571,11.137329790464342,-6.5764090213502815
experience up,148557,2.4612581226451e-4,11.908724001961623,-8.309421564692922
experienced up,43700,3.6990344368932e-4,10.685103381083682,-7.901898577509767
experiencing up,15680,4.1969049699464e-4,9.660141293904399,-7.775573251665735
expired up,2068,2.1378621275346e-4,7.63433723562832,-8.450320239038001
explain up,24404,2.4674849655961e-4,10.102502332271744,-8.30689419369544
explained up,21283,2.8190064479788e-4,9.965663910962803,-8.173673932132155
explode up,22710,0.00331607978917267,10.030560635099604,-5.705650389957997
explore up,33108,3.573301904509e-4,10.407530224005287,-7.936492906372164
