layer,log_predic,fit,panel
14,-7.544839257386576,12.237088112553765,OLMo-3 7B
15,-7.544839257386576,12.891672137393874,OLMo-3 7B
16,-7.544839257386576,13.541907877941439,OLMo-3 7B
17,-7.544839257386576,14.16117580693629,OLMo-3 7B
18,-7.544839257386576,14.733685553757988,OLMo-3 7B
19,-7.544839257386576,15.244117580683465,OLMo-3 7B
20,-7.544839257386576,15.677152349989658,OLMo-3 7B
21,-7.544839257386576,16.017470323953503,OLMo-3 7B
22,-7.544839257386576,16.24975196485194,OLMo-3 7B
23,-7.544839257386576,16.3586777349619,OLMo-3 7B
24,-7.544839257386576,16.331298142319056,OLMo-3 7B
25,-7.544839257386576,16.175291871007325,OLMo-3 7B
26,-7.544839257386576,15.908958921288647,OLMo-3 7B
27,-7.544839257386576,15.550687072897514,OLMo-3 7B
28,-7.544839257386576,15.118864105568418,OLMo-3 7B
29,-7.544839257386576,14.63187779903585,OLMo-3 7B
30,-7.544839257386576,14.108115933034298,OLMo-3 7B
31,-7.544839257386576,13.565966287298258,OLMo-3 7B
0,-7.378746564820833,18.02776682439711,OLMo-3 7B
1,-7.378746564820833,16.694817244906027,OLMo-3 7B
2,-7.378746564820833,15.396608215160649,OLMo-3 7B
3,-7.378746564820833,14.167880284906696,OLMo-3 7B
4,-7.378746564820833,13.043374003889872,OLMo-3 7B
5,-7.378746564820833,12.05782992185589,OLMo-3 7B
6,-7.378746564820833,11.245988588550459,OLMo-3 7B
7,-7.378746564820833,10.642590553719288,OLMo-3 7B
8,-7.378746564820833,10.28218677629241,OLMo-3 7B
9,-7.378746564820833,10.176387726502295,OLMo-3 7B
10,-7.378746564820833,10.29225003289609,OLMo-3 7B
11,-7.378746564820833,10.591711371997524,OLMo-3 7B
12,-7.378746564820833,11.036709420330322,OLMo-3 7B
13,-7.378746564820833,11.589181854418209,OLMo-3 7B
14,-7.378746564820833,12.211066350784911,OLMo-3 7B
15,-7.378746564820833,12.864300585954155,OLMo-3 7B
16,-7.378746564820833,13.511304369911805,OLMo-3 7B
17,-7.378746564820833,14.125586582272923,OLMo-3 7B
18,-7.378746564820833,14.691745172281776,OLMo-3 7B
19,-7.378746564820833,15.194860222644763,OLMo-3 7B
20,-7.378746564820833,15.620011816068288,OLMo-3 7B
21,-7.378746564820833,15.952280035258752,OLMo-3 7B
22,-7.378746564820833,16.176744962922555,OLMo-3 7B
23,-7.378746564820833,16.278486681766104,OLMo-3 7B
24,-7.378746564820833,16.24491695008064,OLMo-3 7B
25,-7.378746564820833,16.083741739581036,OLMo-3 7B
26,-7.378746564820833,15.813116382936464,OLMo-3 7B
27,-7.378746564820833,15.451282571171081,OLMo-3 7B
28,-7.378746564820833,15.016481995309054,OLMo-3 7B
29,-7.378746564820833,14.526956346374538,OLMo-3 7B
30,-7.378746564820833,14.000947315391699,OLMo-3 7B
31,-7.378746564820833,13.456696593384699,OLMo-3 7B
0,-7.21265387225509,17.902818559812218,OLMo-3 7B
1,-7.21265387225509,16.57990005664229,OLMo-3 7B
2,-7.21265387225509,15.291643311237397,OLMo-3 7B
3,-7.21265387225509,14.072710081362574,OLMo-3 7B
4,-7.21265387225509,12.957762124782857,OLMo-3 7B
5,-7.21265387225509,11.981461199263281,OLMo-3 7B
6,-7.21265387225509,11.17846906256888,OLMo-3 7B
7,-7.21265387225509,10.58344747246469,OLMo-3 7B
8,-7.21265387225509,10.230868264541604,OLMo-3 7B
9,-7.21265387225509,10.132222691319484,OLMo-3 7B
10,-7.21265387225509,10.2543702943951,OLMo-3 7B
11,-7.21265387225509,10.559042716663425,OLMo-3 7B
12,-7.21265387225509,11.00797160101943,OLMo-3 7B
13,-7.21265387225509,11.562888590358085,OLMo-3 7B
14,-7.21265387225509,12.185525327574366,OLMo-3 7B
