layer,log_predic,fit,panel
25,-8.375302720215291,18.01938464533624,OLMo-3 7B
26,-8.375302720215291,17.70294064954326,OLMo-3 7B
27,-8.375302720215291,17.31327142325529,OLMo-3 7B
28,-8.375302720215291,16.865022012571323,OLMo-3 7B
29,-8.375302720215291,16.37283746359036,OLMo-3 7B
30,-8.375302720215291,15.851362822411401,OLMo-3 7B
31,-8.375302720215291,15.315243135133441,OLMo-3 7B
0,-8.209210027649549,10.066442116592714,OLMo-3 7B
1,-8.209210027649549,10.061365014470818,OLMo-3 7B
2,-8.209210027649549,10.070792190248941,OLMo-3 7B
3,-8.209210027649549,10.109227921827111,OLMo-3 7B
4,-8.209210027649549,10.191176487105349,OLMo-3 7B
5,-8.209210027649549,10.331142163983673,OLMo-3 7B
6,-8.209210027649549,10.543629230362109,OLMo-3 7B
7,-8.209210027649549,10.843141964140678,OLMo-3 7B
8,-8.209210027649549,11.24408675226075,OLMo-3 7B
9,-8.209210027649549,11.74902517566688,OLMo-3 7B
10,-8.209210027649549,12.337514440020525,OLMo-3 7B
11,-8.209210027649549,12.98646869509957,OLMo-3 7B
12,-8.209210027649549,13.672802090681888,OLMo-3 7B
13,-8.209210027649549,14.37342877654536,OLMo-3 7B
14,-8.209210027649549,15.065262902467863,OLMo-3 7B
15,-8.209210027649549,15.725218618227274,OLMo-3 7B
16,-8.209210027649549,16.33056293916535,OLMo-3 7B
17,-8.209210027649549,16.866678788593042,OLMo-3 7B
18,-8.209210027649549,17.3270649977905,OLMo-3 7B
19,-8.209210027649549,17.705573263601764,OLMo-3 7B
20,-8.209210027649549,17.996055282870852,OLMo-3 7B
21,-8.209210027649549,18.1923627524418,OLMo-3 7B
22,-8.209210027649549,18.28834736915863,OLMo-3 7B
23,-8.209210027649549,18.277860829865375,OLMo-3 7B
24,-8.209210027649549,18.15622282834127,OLMo-3 7B
25,-8.209210027649549,17.931530068727533,OLMo-3 7B
26,-8.209210027649549,17.618458056245373,OLMo-3 7B
27,-8.209210027649549,17.231736666372857,OLMo-3 7B
28,-8.209210027649549,16.786095774588063,OLMo-3 7B
29,-8.209210027649549,16.29626525636905,OLMo-3 7B
30,-8.209210027649549,15.776974987193901,OLMo-3 7B
31,-8.209210027649549,15.24295484254068,OLMo-3 7B
0,-8.043117335083805,10.051911085413213,OLMo-3 7B
1,-8.043117335083805,10.041217743818862,OLMo-3 7B
2,-8.043117335083805,10.044952968937636,OLMo-3 7B
3,-8.043117335083805,10.07754532748266,OLMo-3 7B
4,-8.043117335083805,10.153423386167054,OLMo-3 7B
5,-8.043117335083805,10.287015711703944,OLMo-3 7B
6,-8.043117335083805,10.492750870806452,OLMo-3 7B
7,-8.043117335083805,10.785057430187702,OLMo-3 7B
8,-8.043117335083805,11.178267157071149,OLMo-3 7B
9,-8.043117335083805,11.67499908042969,OLMo-3 7B
10,-8.043117335083805,12.255124349162852,OLMo-3 7B
