layer,log_freq,fit,panel
5,14.034737652473485,12.375417711975036,Encoder
6,14.034737652473485,12.23524384027259,Encoder
7,14.034737652473485,12.133578743208101,Encoder
8,14.034737652473485,12.061162404480568,Encoder
9,14.034737652473485,12.008501973029034,Encoder
10,14.034737652473485,11.968266857062698,Encoder
11,14.034737652473485,11.934239798287322,Encoder
0,14.167749489277558,13.37378483066783,Encoder
1,14.167749489277558,13.153367087364074,Encoder
2,14.167749489277558,12.935738916222434,Encoder
3,14.167749489277558,12.723718927989738,Encoder
4,14.167749489277558,12.523639402160496,Encoder
5,14.167749489277558,12.34865668563175,Encoder
6,14.167749489277558,12.212207266745587,Encoder
7,14.167749489277558,12.116137925986408,Encoder
8,14.167749489277558,12.050705735980957,Encoder
9,14.167749489277558,12.005928503789743,Encoder
10,14.167749489277558,11.974127339148389,Encoder
11,14.167749489277558,11.948809307637976,Encoder
0,14.30076132608163,13.345834035969638,Encoder
1,14.30076132608163,13.124710844849368,Encoder
2,14.30076132608163,12.906576882384417,Encoder
3,14.30076132608163,12.69445140879709,Encoder
4,14.30076132608163,12.494987503915425,Encoder
5,14.30076132608163,12.32189566580998,Encoder
6,14.30076132608163,12.18917070903717,Encoder
7,14.30076132608163,12.098697124227714,Encoder
8,14.30076132608163,12.040249078086617,Encoder
9,14.30076132608163,12.003355040814858,Encoder
10,14.30076132608163,11.979987824832847,Encoder
11,14.30076132608163,11.963378818767573,Encoder
0,14.433773162885704,13.317883224547884,Encoder
1,14.433773162885704,13.09605457677551,Encoder
2,14.433773162885704,12.877414818802437,Encoder
3,14.433773162885704,12.665183864941246,Encoder
4,14.433773162885704,12.466335595610238,Encoder
5,14.433773162885704,12.295134651846285,Encoder
6,14.433773162885704,12.166134165548971,Encoder
7,14.433773162885704,12.081256335719305,Encoder
8,14.433773162885704,12.029792428459714,Encoder
9,14.433773162885704,12.000781582266319,Encoder
10,14.433773162885704,11.985848313282572,Encoder
11,14.433773162885704,11.977948332100153,Encoder
0,14.566784999689775,13.289932396936088,Encoder
1,14.566784999689775,13.067398283967078,Encoder
2,14.566784999689775,12.84825272644009,Encoder
3,14.566784999689775,12.63591629722182,Encoder
4,14.566784999689775,12.437683677567545,Encoder
5,14.566784999689775,12.268373643536808,Encoder
6,14.566784999689775,12.143097635786525,Encoder
7,14.566784999689775,12.063815559975414,Encoder
8,14.566784999689775,12.019335786764048,Encoder
9,14.566784999689775,11.998208127943839,Encoder
10,14.566784999689775,11.991708804383338,Encoder
11,14.566784999689775,11.992517847582326,Encoder
0,14.699796836493846,13.261981553669314,Encoder
1,14.699796836493846,13.038741967241554,Encoder
2,14.699796836493846,12.819090606248551,Encoder
3,14.699796836493846,12.606648706427485,Encoder
