component,verb_up,frequency,predic,log_freq,log_predic,r,vif
encoder,blazed up,15980,0.01896029254378783,9.679093219320265,-3.946266009023595,0.306847430018338,1.1039420443905608
encoder,blazing up,10511,0.00317686375150403,9.260177606823355,-5.748678889815621,0.306847430018338,1.1039420443905608
encoder,blew up,1719775,0.16305084144767512,14.357704026279256,-1.6357012632795769,0.306847430018338,1.1039420443905608
encoder,blinked up,19891,0.01020452660097587,9.89802264710506,-4.574666923002774,0.306847430018338,1.1039420443905608
encoder,block up,162845,9.668021416634e-4,12.000554107132016,-6.940549424132786,0.306847430018338,1.1039420443905608
encoder,blocked up,121430,0.0046195834119559,11.707093244047865,-5.372820461863248,0.306847430018338,1.1039420443905608
encoder,blocking up,55123,0.00280637499163148,10.917322330911832,-5.873051346772965,0.306847430018338,1.1039420443905608
encoder,blow up,2964789,0.04008764851806847,14.902316424306674,-3.175773709894311,0.306847430018338,1.1039420443905608
encoder,blowing up,1411306,0.11639104354398624,14.16002607479248,-2.0270590209802535,0.306847430018338,1.1039420443905608
encoder,blown up,1480824,0.10116712643629476,14.208109247565515,-2.1843232480946315,0.306847430018338,1.1039420443905608
encoder,blows up,673807,0.08197804719321787,13.420698998740043,-2.4157698098017013,0.306847430018338,1.1039420443905608
encoder,boarded up,401848,0.12096473657942472,12.903829186647018,-1.983325944643637,0.306847430018338,1.1039420443905608
encoder,bob up,46431,0.00568925430468039,10.745722618580869,-5.163470593333566,0.306847430018338,1.1039420443905608
encoder,bobbed up,43780,0.12868106319127862,10.686932371076853,-1.9126711183466698,0.306847430018338,1.1039420443905608
encoder,bobbing up,102889,0.11750510785015757,11.541406016205121,-2.0162711971539666,0.306847430018338,1.1039420443905608
encoder,boil up,61987,0.00434745193252153,11.034679964622491,-5.433808438565503,0.306847430018338,1.1039420443905608
encoder,boiling up,44058,0.00406997572129876,10.693262226679666,-5.500039964214334,0.306847430018338,1.1039420443905608
encoder,boils up,16383,0.00398410734400625,9.703999490820264,-5.521449930803173,0.306847430018338,1.1039420443905608
encoder,bolster up,24727,0.00314441855215847,10.115651043007174,-5.758976913374942,0.306847430018338,1.1039420443905608
encoder,bolted up,62684,0.02564694252963857,11.045861510643107,-3.6373493550765184,0.306847430018338,1.1039420443905608
encoder,bone up,83514,0.00171418803514239,11.332769561455455,-6.367100100436489,0.306847430018338,1.1039420443905608
encoder,boning up,21758,0.07819642908484517,9.987736784981028,-2.46710817149717,0.306847430018338,1.1039420443905608
encoder,booked up,318784,0.01714164343269497,12.672269036432954,-4.048954225289988,0.306847430018338,1.1039420443905608
encoder,boost up,422188,0.0043508880510758,12.953205991443873,-5.433014924335829,0.306847430018338,1.1039420443905608
encoder,boosted up,52443,0.00725970022641659,10.867482144479293,-4.918130562039963,0.306847430018338,1.1039420443905608
encoder,boot up,871862,0.02187458978652239,13.678386433486441,-3.800312213664285,0.306847430018338,1.1039420443905608
encoder,booted up,225682,0.10488972918909172,12.326882207742246,-2.1440373181815042,0.306847430018338,1.1039420443905608
encoder,boots up,245597,0.01064299190290699,12.411447260196807,-4.532153607081976,0.306847430018338,1.1039420443905608
encoder,bore up,17924,0.00160424227387827,9.793895875906033,-6.433498206930343,0.306847430018338,1.1039420443905608
encoder,borne up,14873,0.00286707383625968,9.607302767592598,-5.851592146807117,0.306847430018338,1.1039420443905608
encoder,bottle up,188321,0.00379394698233029,12.145903232590456,-5.570547219395102,0.306847430018338,1.1039420443905608
encoder,bottled up,330130,0.06102259849096934,12.707241795262851,-2.7335471497357027,0.306847430018338,1.1039420443905608
encoder,bought up,484157,0.00429284593979386,13.090164513264186,-5.446503290099845,0.306847430018338,1.1039420443905608
encoder,bounce up,121117,0.00908615829932191,11.704512299540216,-4.691875400265288,0.306847430018338,1.1039420443905608
encoder,bounced up,115625,0.02298446379457445,11.658107474814726,-3.749684053374159,0.306847430018338,1.1039420443905608
encoder,bouncing up,146192,0.02813831025012323,11.892676105238403,-3.542081497926348,0.306847430018338,1.1039420443905608
encoder,bound up,613685,0.01165551679805764,13.327237046168753,-4.440251691363666,0.306847430018338,1.1039420443905608
encoder,bounded up,42876,0.00432873117071097,10.66606750781141,-5.438142684825723,0.306847430018338,1.1039420443905608
encoder,bounding up,26857,0.00866996695941027,10.19828177359369,-4.7391825293259275,0.306847430018338,1.1039420443905608
encoder,boxed up,158768,0.04834624348884189,11.975199296154022,-2.979812742740797,0.306847430018338,1.1039420443905608
encoder,brace up,37362,0.00249445487528326,10.528409424100508,-5.991187489299506,0.306847430018338,1.1039420443905608
encoder,braced up,11679,0.01100203385487564,9.365547636278565,-4.498612123539469,0.306847430018338,1.1039420443905608
encoder,break up,7359582,0.02817213952787304,15.811513695613987,-3.540845160911578,0.306847430018338,1.1039420443905608
encoder,breaking up,2522046,0.0515800383247829,14.74058103483313,-2.9116626582390106,0.306847430018338,1.1039420443905608
encoder,breaks up,859813,0.02244226632872051,13.664470202725317,-3.7741112820988487,0.306847430018338,1.1039420443905608
encoder,bred up,14422,0.00247753307657831,9.576510097476705,-5.99801133382057,0.306847430018338,1.1039420443905608
encoder,breed up,12823,5.5944579483753e-4,9.458995712459116,-7.48800431399684,0.306847430018338,1.1039420443905608
encoder,bricked up,49777,0.11836504667830255,10.815308308938832,-2.0080046202098853,0.306847430018338,1.1039420443905608
encoder,brighten up,1172445,0.30872534294477494,13.974601869886778,-0.8060851985974934,0.306847430018338,1.1039420443905608
encoder,brightened up,191302,0.190376958359332,12.161608610156756,-1.4475626606389493,0.306847430018338,1.1039420443905608
encoder,brightening up,153019,0.1264289656585553,11.938317375671037,-1.9329088336294953,0.306847430018338,1.1039420443905608
encoder,brimmed up,960,0.00433162174113145,6.866933284461882,-5.437472240636555,0.306847430018338,1.1039420443905608
encoder,brimming up,1811,9.5164177912347e-4,7.501634457883413,-6.956369781540595,0.306847430018338,1.1039420443905608
encoder,bring up,6887239,0.02686999581007251,15.74518083698844,-3.589507418272647,0.306847430018338,1.1039420443905608
encoder,bringing up,2143017,0.02906895191579083,14.57772520722873,-3.508584794415639,0.306847430018338,1.1039420443905608
encoder,brings up,2745978,0.03265999096336244,14.825647853624647,-3.3883992350387215,0.306847430018338,1.1039420443905608
encoder,broke up,3841527,0.07721163345926489,15.161380501769617,-2.480849781368637,0.306847430018338,1.1039420443905608
encoder,broken up,2900305,0.03685979724236119,14.880326461840266,-3.2630775392960714,0.306847430018338,1.1039420443905608
encoder,brought up,9457116,0.06054038825930587,16.062278031968738,-2.741994111987598,0.306847430018338,1.1039420443905608
encoder,brush up,1061156,0.02646342881552467,13.87486943789084,-3.6051716556524296,0.306847430018338,1.1039420443905608
encoder,brushed up,114073,0.02095031524739528,11.644593873316685,-3.8444286978928335,0.306847430018338,1.1039420443905608
encoder,brushing up,240484,0.0373889722401449,12.390408838248335,-3.2482736119743785,0.306847430018338,1.1039420443905608
encoder,bubble up,321876,0.01659557980199827,12.681921657191427,-4.081884066863187,0.306847430018338,1.1039420443905608
encoder,bubbled up,137867,0.24511431924047933,11.834044731300295,-1.1248416107105317,0.306847430018338,1.1039420443905608
encoder,bubbles up,128961,0.0134671854249759,11.767265312052823,-4.293940571329851,0.306847430018338,1.1039420443905608
encoder,bubbling up,240436,0.09341347143817334,12.390209220847689,-2.272650910452366,0.306847430018338,1.1039420443905608
encoder,buck up,125488,0.00659972451009715,11.739965415452447,-5.0141057727265945,0.306847430018338,1.1039420443905608
encoder,buckle up,365387,0.1103518488820513,12.80871234484378,-2.087152161467248,0.306847430018338,1.1039420443905608
encoder,buckled up,72228,0.07856292114666101,11.18758306133577,-2.462034646562295,0.306847430018338,1.1039420443905608
encoder,buffer up,14561,3.8580994161289e-4,9.586102000710904,-7.859779804613708,0.306847430018338,1.1039420443905608
encoder,build up,14188796,0.05072106305841605,16.467963197051542,-2.9293614133891577,0.306847430018338,1.1039420443905608
encoder,building up,5393444,0.01815637967557089,15.500694699875451,-3.990410053341192,0.306847430018338,1.1039420443905608
encoder,builds up,1917794,0.07615734972546853,14.466686125111988,-2.495740174124806,0.306847430018338,1.1039420443905608
