layer,fit_low,fit_high,se_low,se_high,diff,se_diff,lo95,hi95,lo80,hi80,panel
4,14.41234220943224,13.703406708157509,0.07937608500906526,0.0768221678474878,-0.7089355012747305,0.11046360642380794,-0.925444169865394,-0.49242683268406695,-0.8503289174972046,-0.5675420850522563,BabyLM 1.3B
5,13.830245210546629,12.995822357230109,0.07966102704029433,0.07709013860389155,-0.8344228533165197,0.11085471888504213,-1.0516981023312022,-0.6171476043018371,-0.9763168934893736,-0.6925288131436658,BabyLM 1.3B
6,13.392155377292656,12.469551619722006,0.07967561229204785,0.07710306865273964,-0.9226037575706503,0.11087419172098532,-1.1399171733437816,-0.705290341797519,-1.0645227229735115,-0.7806847921677891,BabyLM 1.3B
7,13.10495310272503,12.134360634932943,0.07940470042137089,0.07684676012364201,-0.9705924677920876,0.11050127144294872,-1.187174959820267,-0.7540099757639082,-1.112034095239062,-0.8291508403451133,BabyLM 1.3B
8,12.93322449076192,11.948893234319737,0.07913268949758462,0.07659053198954806,-0.9843312564421822,0.1101276175060694,-1.2001813867540783,-0.7684811261302862,-1.125294606849951,-0.8433679060344134,BabyLM 1.3B
9,12.836696301463244,11.865919622480659,0.07908833313726696,0.07655072265996332,-0.9707766789825847,0.11006805884630627,-1.186510074321345,-0.7550432836438243,-1.1116637943058567,-0.8298895636593127,BabyLM 1.3B
10,12.775095294888933,11.838210004013979,0.0792857587562531,0.07674007252352621,-0.9368852908749545,0.11034160716824289,-1.1531548409247105,-0.7206157408251985,-1.0781225480503054,-0.7956480336996037,BabyLM 1.3B
11,12.708148231098912,11.81853458351797,0.07952214335004106,0.07696560646263043,-0.8896136475809424,0.11066831462141717,-1.10652354423892,-0.6727037509229647,-1.0312690902963564,-0.7479582048655284,BabyLM 1.3B
12,12.596563441673407,11.760730840489314,0.07952214335004111,0.07696560646263043,-0.8358326011840926,0.11066831462141721,-1.0527424978420703,-0.6189227045261149,-0.9774880438995066,-0.6941771584686787,BabyLM 1.3B
13,12.423625403159555,11.643183577088243,0.07928575875625321,0.07674007252352623,-0.7804418260713124,0.11034160716824297,-0.9967113761210686,-0.5641722760215562,-0.9216790832466635,-0.6392045688959613,BabyLM 1.3B
14,12.195194737071413,11.46882491813852,0.07908833313726717,0.07655072265996332,-0.7263698189328931,0.11006805884630642,-0.9421032142716537,-0.5106364235941325,-0.8672569342561653,-0.5854827036096208,BabyLM 1.3B
